time,sst
2015-01-01,24.567142071896757
2015-02-01,24.94261725286584
2015-03-01,26.028441982068255
2015-04-01,28.11041252958704
2015-05-01,29.761246468893876
2015-06-01,29.30538878453201
2015-07-01,28.295421873676705
2015-08-01,27.739388355842003
2015-09-01,28.32605451151464
2015-10-01,29.195015073748383
2015-11-01,28.071246266409137
2015-12-01,26.46357452860598
2016-01-01,25.70398652557967
2016-02-01,25.33519002244141
2016-03-01,27.083439043904903
2016-04-01,28.586293245472852
2016-05-01,30.062779454878097
2016-06-01,30.28127753589104
2016-07-01,28.779606513458596
2016-08-01,27.59202404461316
2016-09-01,27.78536331653595
2016-10-01,28.148729330821503
2016-11-01,27.671960147086686
2016-12-01,26.517476356108865
2017-01-01,25.678437657433854
2017-02-01,25.078847545050305
2017-03-01,26.298458196355043
2017-04-01,27.986954504480728
2017-05-01,29.379131615999533
2017-06-01,29.752799523344056
2017-07-01,28.138405767815
2017-08-01,27.604393250667133
2017-09-01,28.144260987639427
2017-10-01,28.767839731946147
2017-11-01,27.922629432212673
2017-12-01,25.829598543471132
2018-01-01,24.970177092143064
2018-02-01,24.99197272537552
2018-03-01,26.917980326482883
2018-04-01,28.727017884776437
2018-05-01,29.836224487370995
2018-06-01,30.018022345235714
2018-07-01,28.324693638809332
2018-08-01,26.610176057681528
2018-09-01,27.060052836523255
2018-10-01,28.948107691514775
2018-11-01,28.35561665394426
2018-12-01,26.372495739109066
2019-01-01,25.277409274329447
2019-02-01,24.67319046115205
2019-03-01,25.33819347717
2019-04-01,28.115240593898225
2019-05-01,29.65302241690589
2019-06-01,30.042596065742377
2019-07-01,28.813944712325313
2019-08-01,27.67636348042615
2019-09-01,28.137790341304957
2019-10-01,28.594267786166373
2019-11-01,26.665334742141546
2019-12-01,26.293339754746864
2020-01-01,24.76555644553265
2020-02-01,24.63802013629992
2020-03-01,25.47335760793566
2020-04-01,28.090662539402057
2020-05-01,30.227687755632683
2020-06-01,30.90467425263845
2020-07-01,29.84603663961563
2020-08-01,28.669830893226983
2020-09-01,28.87328136267041
2020-10-01,28.965196612142247
2020-11-01,27.74884078695753
2020-12-01,26.244851080138655
2021-01-01,24.4506184300022
2021-02-01,24.5930029872871
2021-03-01,27.49945002873621
2021-04-01,29.08912704210486
2021-05-01,30.36750659112923
2021-06-01,29.94437919552686
2021-07-01,28.831571047651696
2021-08-01,27.667431128051508
2021-09-01,27.79361089856843
2021-10-01,28.617697333443093
2021-11-01,27.590450806421995
2021-12-01,26.15061714628039
2022-01-01,24.994165724066235
2022-02-01,25.36092525213604
2022-03-01,26.6903158576619
2022-04-01,29.078968170699635
2022-05-01,30.064807761967536
2022-06-01,30.099822063197397
2022-07-01,28.340972103398933
2022-08-01,27.350919874329893
2022-09-01,28.10663762472614
2022-10-01,29.066386599159806
2022-11-01,28.465617641630256
2022-12-01,26.66727203545133
2023-01-01,25.038255399324484
2023-02-01,24.728470497318273
2023-03-01,26.71869915494552
2023-04-01,28.65364344241704
2023-05-01,30.39341084641465
2023-06-01,30.294526541815003
2023-07-01,28.77389864927742
2023-08-01,27.559319759790714
2023-09-01,28.929003465766385
2023-10-01,29.538015671338908
2023-11-01,29.010889863518216
2023-12-01,26.686484610937402
